trans_id,taxa_cobrada_real
T100000,0.028
T100001,0.028
T100002,0.028
T100003,0.03
T100004,0.025
T100005,0.0
T100006,0.0
T100007,0.03
T100008,0.025
T100009,0.0
T100010,0.028
T100011,0.0
T100012,0.0
T100013,0.0
T100014,0.0
T100015,0.0
T100016,0.03
T100017,0.025
T100018,0.025
T100019,0.025
T100020,0.03
T100021,0.028
T100022,0.03
T100023,0.028
T100024,0.03
T100025,0.0
T100026,0.025
T100027,0.028
T100028,0.0
T100029,0.0
T100030,0.0
T100031,0.028
T100032,0.0
T100033,0.028
T100034,0.0
T100035,0.0
T100036,0.0
T100037,0.025
T100038,0.0
T100039,0.03
T100040,0.028
T100041,0.0
T100042,0.0
T100043,0.025
T100044,0.025
T100045,0.028
T100046,0.0
T100047,0.0
T100048,0.028
T100049,0.025
T100050,0.028
T100051,0.025
T100052,0.028
T100053,0.028
T100054,0.03
T100055,0.0
T100056,0.0
T100057,0.028
T100058,0.0
T100059,0.0
T100060,0.028
T100061,0.0
T100062,0.025
T100063,0.0
T100064,0.0
T100065,0.0
T100066,0.025
T100067,0.0
T100068,0.03
T100069,0.03
T100070,0.025
T100071,0.025
T100072,0.03
T100073,0.028
T100074,0.03
T100075,0.025
T100076,0.0
T100077,0.0
T100078,0.0
T100079,0.0
T100080,0.0
T100081,0.025
T100082,0.03
T100083,0.03
T100084,0.0
T100085,0.028
T100086,0.03
T100087,0.025
T100088,0.0
T100089,0.025
T100090,0.03
T100091,0.028
T100092,0.028
T100093,0.0
T100094,0.0
T100095,0.025
T100096,0.028
T100097,0.0
T100098,0.028
T100099,0.025
T100100,0.028
T100101,0.0
T100102,0.025
T100103,0.0
T100104,0.028
T100105,0.028
T100106,0.025
T100107,0.0
T100108,0.028
T100109,0.0
T100110,0.0
T100111,0.025
T100112,0.03
T100113,0.0
T100114,0.025
T100115,0.028
T100116,0.03
T100117,0.025
T100118,0.03
T100119,0.0
T100120,0.0
T100121,0.025
T100122,0.03
T100123,0.025
T100124,0.03
T100125,0.028
T100126,0.0
T100127,0.03
T100128,0.0
T100129,0.025
T100130,0.03
T100131,0.0
T100132,0.025
T100133,0.0
T100134,0.03
T100135,0.025
T100136,0.03
T100137,0.028
T100138,0.0
T100139,0.0
T100140,0.0
T100141,0.0
T100142,0.03
T100143,0.03
T100144,0.0
T100145,0.025
T100146,0.03
T100147,0.025
T100148,0.028
T100149,0.0
T100150,0.028
T100151,0.025
T100152,0.03
T100153,0.0
T100154,0.025
T100155,0.0
T100156,0.025
T100157,0.028
T100158,0.0
T100159,0.03
T100160,0.028
T100161,0.025
T100162,0.028
T100163,0.0
T100164,0.025
T100165,0.03
T100166,0.028
T100167,0.0
T100168,0.0
T100169,0.028
T100170,0.0
T100171,0.028
T100172,0.03
T100173,0.0
T100174,0.025
T100175,0.025
T100176,0.025
T100177,0.0
T100178,0.028
T100179,0.03
T100180,0.0
T100181,0.03
T100182,0.025
T100183,0.0
T100184,0.0
T100185,0.0
T100186,0.025
T100187,0.025
T100188,0.0
T100189,0.03
T100190,0.025
T100191,0.0
T100192,0.03
T100193,0.028
T100194,0.03
T100195,0.028
T100196,0.0
T100197,0.03
T100198,0.03
T100199,0.03
T100200,0.0
T100201,0.0
T100202,0.028
T100203,0.03
T100204,0.0
T100205,0.03
T100206,0.0
T100207,0.03
T100208,0.03
T100209,0.03
T100210,0.028
T100211,0.028
T100212,0.028
T100213,0.0
T100214,0.0
T100215,0.0
T100216,0.03
T100217,0.0
T100218,0.0
T100219,0.0
T100220,0.03
T100221,0.025
T100222,0.025
T100223,0.025
T100224,0.03
T100225,0.03
T100226,0.028
T100227,0.03
T100228,0.025
T100229,0.025
T100230,0.0
T100231,0.03
T100232,0.025
T100233,0.028
T100234,0.0
T100235,0.03
T100236,0.0
T100237,0.028
T100238,0.03
T100239,0.025
T100240,0.025
T100241,0.0
T100242,0.03
T100243,0.025
T100244,0.028
T100245,0.03
T100246,0.028
T100247,0.0
T100248,0.028
T100249,0.025
T100250,0.025
T100251,0.0
T100252,0.028
T100253,0.03
T100254,0.028
T100255,0.025
T100256,0.03
T100257,0.03
T100258,0.0
T100259,0.028
T100260,0.0
T100261,0.03
T100262,0.0
T100263,0.03
T100264,0.0
T100265,0.0
T100266,0.0
T100267,0.025
T100268,0.0
T100269,0.025
T100270,0.03
T100271,0.028
T100272,0.028
T100273,0.0
T100274,0.03
T100275,0.025
T100276,0.025
T100277,0.025
T100278,0.025
T100279,0.03
T100280,0.025
T100281,0.03
T100282,0.0
T100283,0.028
T100284,0.0
T100285,0.0
T100286,0.03
T100287,0.03
T100288,0.03
T100289,0.03
T100290,0.03
T100291,0.0
T100292,0.028
T100293,0.0
T100294,0.0
T100295,0.025
T100296,0.028
T100297,0.025
T100298,0.028
T100299,0.025
T100300,0.03
T100301,0.0
T100302,0.03
T100303,0.025
T100304,0.0
T100305,0.0
T100306,0.028
T100307,0.0
T100308,0.028
T100309,0.0
T100310,0.0
T100311,0.028
T100312,0.0
T100313,0.0
T100314,0.0
T100315,0.0
T100316,0.0
T100317,0.025
T100318,0.0
T100319,0.0
T100320,0.0
T100321,0.0
T100322,0.03
T100323,0.0
T100324,0.03
T100325,0.028
T100326,0.028
T100327,0.028
T100328,0.025
T100329,0.025
T100330,0.0
T100331,0.025
T100332,0.03
T100333,0.025
T100334,0.025
T100335,0.0
T100336,0.025
T100337,0.028
T100338,0.0
T100339,0.0
T100340,0.028
T100341,0.0
T100342,0.03
T100343,0.025
T100344,0.0
T100345,0.0
T100346,0.0
T100347,0.03
T100348,0.03
T100349,0.025
T100350,0.028
T100351,0.0
T100352,0.03
T100353,0.0
T100354,0.0
T100355,0.025
T100356,0.0
T100357,0.028
T100358,0.028
T100359,0.03
T100360,0.0
T100361,0.028
T100362,0.025
T100363,0.03
T100364,0.0
T100365,0.03
T100366,0.028
T100367,0.028
T100368,0.025
T100369,0.028
T100370,0.0
T100371,0.03
T100372,0.03
T100373,0.0
T100374,0.0
T100375,0.025
T100376,0.0
T100377,0.028
T100378,0.03
T100379,0.0
T100380,0.0
T100381,0.03
T100382,0.028
T100383,0.03
T100384,0.028
T100385,0.0
T100386,0.03
T100387,0.03
T100388,0.03
T100389,0.0
T100390,0.03
T100391,0.025
T100392,0.028
T100393,0.0
T100394,0.03
T100395,0.0
T100396,0.03
T100397,0.0
T100398,0.0
T100399,0.028
T100400,0.0
T100401,0.028
T100402,0.03
T100403,0.0
T100404,0.0
T100405,0.028
T100406,0.028
T100407,0.0
T100408,0.025
T100409,0.0
T100410,0.025
T100411,0.03
T100412,0.03
T100413,0.03
T100414,0.0
T100415,0.03
T100416,0.025
T100417,0.028
T100418,0.03
T100419,0.025
T100420,0.028
T100421,0.025
T100422,0.0
T100423,0.025
T100424,0.03
T100425,0.0
T100426,0.0
