trans_id,cliente_id,valor,mcc,payment_method,taxa_padrao_esperada,isencao_documentada,taxa_cobrada_real
T100000,C102,77.22,4511,debit,0.028,False,0.028
T100001,C113,830.95,7512,credit,0.028,False,0.028
T100002,C132,554.75,5941,credit,0.028,False,0.028
T100003,C122,783.72,7512,credit,0.03,False,0.03
T100004,C110,288.26,5812,debit,0.025,False,0.025
T100005,C142,87.0,5813,debit,0.0,True,0.0
T100006,C132,363.26,4511,pix_debit,0.028,False,0.0
T100007,C100,173.25,5813,voucher,0.03,False,0.03
T100008,C118,111.27,4511,pix_credit,0.025,False,0.025
T100009,C131,175.44,8299,pix_credit,0.03,False,0.0
T100010,C137,245.64,4511,credit,0.028,False,0.028
T100011,C142,971.54,5411,debit,0.0,True,0.0
T100012,C117,125.6,5941,pix_debit,0.0,True,0.0
T100013,C116,28.72,5812,pix_debit,0.03,False,0.0
T100014,C148,58.52,8299,credit,0.028,False,0.0
T100015,C117,41.17,5941,credit,0.0,True,0.0
T100016,C104,236.93,5813,debit,0.03,False,0.03
T100017,C130,457.86,8011,credit,0.0,True,0.025
T100018,C123,47.85,5813,debit,0.025,False,0.025
T100019,C125,38.59,4511,debit,0.025,False,0.025
T100020,C116,96.02,4511,credit,0.03,False,0.03
T100021,C137,658.83,5813,credit,0.028,False,0.028
T100022,C100,93.72,5812,credit,0.03,False,0.03
T100023,C135,156.8,5812,debit,0.028,False,0.028
T100024,C124,231.0,8011,credit,0.03,False,0.03
T100025,C114,178.48,5812,pix_debit,0.025,False,0.0
T100026,C118,477.39,5411,debit,0.025,False,0.025
T100027,C113,65.59,7512,credit,0.028,False,0.028
T100028,C115,1094.55,8299,debit,0.03,False,0.0
T100029,C143,785.97,5411,pix_debit,0.028,False,0.0
T100030,C115,333.08,8299,pix_credit,0.03,False,0.0
T100031,C102,236.94,5941,credit,0.028,False,0.028
T100032,C107,408.23,5941,debit,0.0,True,0.0
T100033,C135,137.95,7512,pix_credit,0.028,False,0.028
T100034,C142,831.7,5812,debit,0.0,True,0.0
T100035,C104,131.26999999999998,8299,credit,0.03,False,0.0
T100036,C138,226.54,5813,pix_debit,0.03,False,0.0
T100037,C140,158.01,4511,credit,0.025,False,0.025
T100038,C106,135.76999999999998,8299,debit,0.025,False,0.0
T100039,C115,171.07,7512,credit,0.03,False,0.03
T100040,C135,61.34,8011,debit,0.028,False,0.028
T100041,C100,91.17,5411,pix_debit,0.03,False,0.0
T100042,C102,81.59,8299,pix_credit,0.028,False,0.0
T100043,C110,145.53,5411,credit,0.025,False,0.025
T100044,C119,62.42,8011,pix_credit,0.025,False,0.025
T100045,C148,244.15,5812,debit,0.028,False,0.028
T100046,C142,342.24,5411,debit,0.0,True,0.0
T100047,C148,38.84,8299,credit,0.028,False,0.0
