cliente_id,taxa_padrao_esperada,isencao_documentada
C100,0.03,False
C101,0.028,False
C102,0.028,False
C103,0.025,False
C104,0.03,False
C105,0.028,False
C106,0.025,False
C107,0.0,True
C108,0.03,False
C109,0.028,False
C110,0.025,False
C111,0.03,False
C112,0.03,False
C113,0.028,False
C114,0.025,False
C115,0.03,False
C116,0.03,False
C117,0.0,True
C118,0.025,False
C119,0.025,False
C120,0.025,False
C121,0.03,False
C122,0.03,False
C123,0.025,False
C124,0.03,False
C125,0.025,False
C126,0.03,False
C127,0.0,True
C128,0.0,True
C129,0.03,False
C130,0.0,True
C131,0.03,False
C132,0.028,False
C133,0.025,False
C134,0.03,False
C135,0.028,False
C136,0.028,False
C137,0.028,False
C138,0.03,False
C139,0.0,True
C140,0.025,False
C141,0.0,True
C142,0.0,True
C143,0.028,False
C144,0.025,False
C145,0.028,False
C146,0.028,False
C147,0.03,False
C148,0.028,False
C149,0.028,False
